"","ACA>AAA","ACC>AAC","ACG>AAG","ACT>AAT","CCA>CAA","CCC>CAC","CCG>CAG","CCT>CAT","GCA>GAA","GCC>GAC","GCG>GAG","GCT>GAT","TCA>TAA","TCC>TAC","TCG>TAG","TCT>TAT","ACA>AGA","ACC>AGC","ACG>AGG","ACT>AGT","CCA>CGA","CCC>CGC","CCG>CGG","CCT>CGT","GCA>GGA","GCC>GGC","GCG>GGG","GCT>GGT","TCA>TGA","TCC>TGC","TCG>TGG","TCT>TGT","ACA>ATA","ACC>ATC","ACG>ATG","ACT>ATT","CCA>CTA","CCC>CTC","CCG>CTG","CCT>CTT","GCA>GTA","GCC>GTC","GCG>GTG","GCT>GTT","TCA>TTA","TCC>TTC","TCG>TTG","TCT>TTT","ATA>AAA","ATC>AAC","ATG>AAG","ATT>AAT","CTA>CAA","CTC>CAC","CTG>CAG","CTT>CAT","GTA>GAA","GTC>GAC","GTG>GAG","GTT>GAT","TTA>TAA","TTC>TAC","TTG>TAG","TTT>TAT","ATA>ACA","ATC>ACC","ATG>ACG","ATT>ACT","CTA>CCA","CTC>CCC","CTG>CCG","CTT>CCT","GTA>GCA","GTC>GCC","GTG>GCG","GTT>GCT","TTA>TCA","TTC>TCC","TTG>TCG","TTT>TCT","ATA>AGA","ATC>AGC","ATG>AGG","ATT>AGT","CTA>CGA","CTC>CGC","CTG>CGG","CTT>CGT","GTA>GGA","GTC>GGC","GTG>GGG","GTT>GGT","TTA>TGA","TTC>TGC","TTG>TGG","TTT>TGT"
"SBS1",0.0008861572,0.002280405,0.0001770314,0.001280227,0.0003120554,0.001790318,9.321654e-05,2.230396e-16,0.00158028,0.0003390602,0.0005871042,2.230396e-16,6.581168e-05,0.002530449,2.230396e-16,5.881043e-06,0.00186033,0.001220217,0.0001150204,0.001140202,2.410428e-05,7.681363e-05,0.0003520625,2.230396e-16,9.591702e-06,0.0001640291,0.0001660295,2.230396e-16,2.230396e-16,0.000203036,6.941232e-05,0.001560277,0.02500444,0.006321122,0.3650648,0.0095817,0.002000355,0.0002700479,0.1960348,0.0001960348,0.004440788,9.281647e-05,0.2180387,3.840681e-05,0.001110197,3.730662e-05,0.1100195,2.230396e-16,0.000800142,0.002230396,0.001140202,0.0001830325,4.300763e-05,0.0003930697,0.0003240575,0.0002600461,8.121441e-05,0.0001290229,0.0002460437,0.0002580458,0.006721193,2.230396e-16,2.800497e-05,0.002250399,0.001090193,0.003040539,0.0001060188,0.005741019,2.230396e-16,0.002500444,0.0003600639,4.260756e-05,0.001050186,0.001900337,0.001170208,7.131265e-05,0.0002550453,0.003390602,0.0004160738,0.004330768,0.0001720305,0.0002070367,0.0002680476,0.0001120199,3.55063e-05,0.0002120376,0.0001280227,0.0001710303,2.230396e-16,2.230396e-16,0.0003480618,1.460259e-05,2.230396e-16,5.510978e-05,0.0005831035,2.230396e-16
"SBS2",5.800168e-07,0.0001480043,5.230151e-05,9.780282e-05,0.000208006,9.530275e-05,2.230064e-16,0.0004210122,8.620249e-05,2.230064e-16,1.39004e-05,5.120148e-05,0.0006390185,0.0001700049,8.530246e-05,0.0004400127,2.230064e-16,0.0001330038,1.520044e-05,9.120263e-05,2.230064e-16,0.0003510101,4.870141e-05,6.360184e-05,6.540189e-05,0.0002610075,2.230064e-16,0.0001340039,2.230064e-16,9.870285e-05,4.120119e-05,0.001180034,6.110176e-05,0.00138004,3.270094e-05,0.001860054,0.004320125,0.0001700049,0.00277008,0.001450042,2.230064e-16,1.290037e-07,2.230064e-16,5.040146e-05,0.5360155,0.09730281,0.04420128,0.3000087,9.590277e-05,0.0008780254,2.550074e-05,2.230064e-16,0.000243007,0.000244007,0.0001490043,2.230064e-16,2.230064e-16,0.0001310038,6.380184e-05,6.280181e-05,0.0004220122,0.0001920055,5.010145e-05,0.0002050059,6.170178e-05,2.150062e-05,1.320038e-05,0.0001550045,0.0003020087,2.850082e-05,2.230064e-16,0.0001860054,2.230064e-16,2.740079e-05,0.0001070031,1.250036e-05,2.230064e-16,4.350126e-05,0.0001170034,3.580103e-05,0.0002380069,7.460215e-05,2.050059e-06,3.760109e-06,0.0001530044,0.0001550045,0.0001210035,0.0002030059,0.000209006,0.0001330038,3.710107e-05,2.230064e-16,1.670048e-05,7.040203e-05,9.540276e-05,2.230064e-16
"SBS4",0.0421964977,0.0332972363,0.0155987053,0.0294975517,0.0806933025,0.0796933854,0.0244979667,0.0689942735,0.0315973774,0.0347971118,0.0152987302,0.0211982405,0.0397966969,0.0468961076,0.0108990954,0.0412965724,0.0068894282,0.0028397643,0.0012798938,0.0035497054,0.0078293502,0.0068694298,0.0033997178,0.006819434,0.005289561,0.0057495228,0.0032997261,0.0030397477,0.0035797029,0.0059495062,0.0018298481,0.0033797195,0.008699278,0.0041796531,0.000782935,0.0042496473,0.012698946,0.0114990456,0.0033097253,0.0159986721,0.0040896606,0.0044596299,0.00048196,0.0038096838,0.0037396896,0.0069894199,0.0002809767,0.0072194008,0.0094192182,0.003529707,0.0123989709,0.0042096506,0.0143988049,0.0121989875,0.0324973027,0.0117990207,0.0092192348,0.0035997012,0.0130989128,0.0055195419,0.008879263,0.0043096423,0.0095392082,0.0056195336,0.0079493402,0.0007149407,0.004999585,0.0015598705,0.0051795701,0.0023598041,0.0054995435,0.0025597875,0.0028997593,0.0011799021,0.0023698033,0.0007549373,0.0024098,0.0005029583,0.0017398556,0.0006359472,0.0010499129,0.0001589868,0.0014198821,0.0002159821,0.0008699278,0.0004409634,0.0037896855,0.0011999004,0.0005979504,0.000252979,0.0024297983,0.0002519791,0.0003769687,0.0001739856,0.0023198075,0.0005679529
"SBS5",0.0119976,0.009438112,0.00184963,0.006608678,0.007428514,0.006138772,0.003459308,0.006488702,0.01019796,0.00764847,0.002339532,0.006818636,0.007858428,0.009168166,0.00229954,0.012697461,0.01009798,0.00569886,0.001719656,0.01009798,0.006958608,0.009068186,0.002489502,0.009528094,0.004679064,0.005078984,0.001509698,0.006718656,0.007808438,0.00759848,0.001709658,0.0124975,0.032593481,0.017896421,0.006178764,0.021995601,0.019396121,0.018996201,0.017496501,0.023095381,0.019396121,0.021595681,0.01229754,0.018596281,0.020295941,0.022995401,0.015896821,0.020995801,0.007378524,0.006928614,0.009118176,0.00619876,0.003539292,0.005188962,0.005008998,0.00429914,0.003669266,0.002909418,0.004109178,0.003219356,0.006308738,0.004139172,0.004789042,0.00874825,0.046190762,0.013397321,0.038192362,0.038292342,0.013297341,0.01039792,0.020795841,0.014897021,0.014097181,0.007938412,0.014997001,0.013697261,0.017996401,0.009708058,0.012697461,0.018496301,0.003859228,0.00259948,0.007938412,0.004829034,0.002589482,0.004609078,0.006128774,0.00729854,0.002519496,0.001709658,0.00529894,0.00234953,0.005218956,0.006558688,0.006938612,0.013497301
"SBS7a",6.704351e-05,0.0001791162,7.124623e-05,0.000248161,0.0004552955,0.0002401558,2.231448e-16,0.0003722416,4.062636e-05,0.0001380896,4.25276e-05,2.231448e-16,0.0003902532,0.000636413,3.442234e-05,0.0006133981,6.494214e-05,2.161403e-05,5.083299e-05,9.566208e-05,2.231448e-16,0.0001310851,7.755032e-05,9.566208e-05,1.961273e-05,3.322156e-05,4.512929e-05,4.202727e-05,2.231448e-16,5.093305e-05,6.354123e-06,0.0002811825,0.0001220792,0.01771149,2.231448e-16,0.007424818,0.05003247,0.05533591,0.006714357,0.05663675,8.495513e-05,0.0117076,5.523584e-06,0.01611045,0.2381545,0.3312149,0.07414812,0.1070695,0.00194126,0.0006704351,0.0005873812,0.003712409,0.0001771149,0.0002611695,0.0001120727,0.0003712409,0.0004012604,0.0002241455,0.0002901883,0.0003061987,0.0003562312,0.0003892526,2.231448e-16,0.0007985182,0.0004903182,0.0002271474,0.0001871214,0.0006153994,0.0004512929,0.0002591682,0.0001040675,0.001821182,0.0001010656,7.414812e-05,7.254708e-05,0.0008115266,0.002151396,0.000596387,0.0003192071,0.0008125273,0.0004733071,0.0002471604,0.0002761792,0.0003092006,8.425468e-05,0.0001721117,2.231448e-16,2.651721e-05,9.065883e-05,0.0001210786,0.000325211,0.0008355422,0.0001280831,0.0001160753,2.231448e-16,8.295383e-05
"SBS7b",0.002329386,0.0004608785,0.000185951,0.0007098129,0.0011397,0.001549592,0.0004078925,0.001489607,0.0007458035,0.0002149434,7.288079e-05,0.0001469613,0.002899236,0.003519073,0.000299921,0.001409629,8.557745e-06,0.0001889502,0.0005048669,0.0002849249,0.0004578793,0.0009597471,0.0007907916,0.0008897655,5.108654e-05,0.0004518809,0.0003369112,0.000276927,0.0002539331,0.001619573,0.0003639041,0.0007138119,0.001409629,0.03808996,0.0005428569,0.01079715,0.1069718,0.181952,0.02209418,0.1259668,0.0008547747,0.02629307,0.0001759536,0.00538858,0.006608258,0.2109444,0.05738488,0.1019731,0.002489344,0.000466877,0.001559589,0.008287816,0.001119705,0.0009577476,0.0008827674,0.0001119705,0.0005258614,0.0002559326,0.0006558272,5.588527e-05,0.003239146,0.00223941,0.001699552,2.219415e-16,0.001019731,0.0004558799,0.001499605,0.002149434,0.001529597,0.0008397787,0.0007298077,0.00572849,0.0002659299,2.219415e-16,0.0005288606,0.006848195,0.005998419,0.001729544,0.003808996,0.002969217,8.437776e-05,0.0009317544,0.001469613,0.0007328069,0.0003589054,0.0007917913,0.00128966,3.67903e-06,0.0003229149,0.0003209154,0.002409365,0.001829518,0.0009547484,0.001549592,0.001349644,0.001769534
"SBS7c",0.004830406,0.001150097,0.0003770317,0.001960165,0.0001090092,0.00309026,0.001910161,0.01350113,0.001050088,0.0007420624,2.220187e-16,0.0003630305,0.002520212,0.01420119,2.220187e-16,0.003730313,0.001120094,0.0003190268,2.220187e-16,0.001930162,0.0002060173,0.00226019,0.000262022,0.004240356,0.0001820153,0.0004730398,0.0001800151,0.001280108,0.001940163,0.004610387,8.750735e-06,0.01230103,0.001330112,0.007680645,0.0009270779,0.007480629,0.002710228,0.005970502,0.008940751,0.02060173,0.0001570132,9.510799e-06,3.430288e-05,0.0007580637,0.01730145,0.01370115,4.64039e-05,0.002320195,0.01240104,0.003420287,0.0002110177,0.05070426,0.003470292,0.01340113,0.0009610808,0.04870409,0.001730145,0.002270191,2.220187e-16,0.02030171,0.01540129,0.03420287,0.01220103,0.2790234,0.0002880242,0.0005330448,0.00107009,0.002650223,0.007570636,0.003580301,0.002170182,0.04310362,2.220187e-16,0.0004230356,0.0002320195,0.007070594,0.03020254,0.02090176,0.01290108,0.0881074,0.011901,0.001050088,0.0006040508,2.220187e-16,0.003280276,0.005580469,0.0011901,0.003400286,0.002480208,0.00166014,0.006030507,0.006750567,0.01930162,0.01740146,0.007640642,0.02170182
"SBS7d",4.03938e-05,0.0007648826,0.0002499616,0.004049378,0.01449777,0.003219506,8.508694e-05,0.000116982,0.0001679742,2.219659e-16,1.819721e-05,7.398864e-05,0.01139825,0.007758809,2.219659e-16,0.0001909707,0.001179819,0.002549609,0.000905861,0.002909553,0.001319797,0.0002859561,0.001319797,2.219659e-16,0.0001959699,2.219659e-16,0.0005449164,0.0008818646,0.003739426,0.0005879098,0.000872866,8.528691e-05,0.003329489,0.001399785,0.001209814,0.03289495,0.03559454,0.002599601,0.002639595,0.0001379788,0.000364944,0.0001809722,0.0001569759,0.04209354,0.0002069682,0.005649133,0.001749731,0.04999233,8.888636e-05,0.001079834,0.003699432,0.04109369,0.001609753,8.128752e-05,0.001199816,0.001149824,2.369636e-05,0.0001119828,0.001349793,0.008758656,0.01669744,0.001229811,0.005599141,0.02729581,0.004359331,0.003929397,0.00918859,0.05099217,0.01019843,8.888636e-05,0.0009348565,0.03969391,0.0007998772,0.002319644,0.002569606,0.3179512,0.08118754,0.01429781,0.0227965,0.04309339,0.003699432,0.002659592,0.01059837,0.01429781,0.001479773,4.979236e-05,2.579604e-05,0.0001559761,7.478852e-05,2.229658e-05,0.003799417,0.00683895,0.0002109676,0.0001149824,0.0001249808,0.0001659745
"SBS9",0.0005579537,0.0040896606,0.0004259646,0.0030497469,0.0047996016,0.0019198407,0.0013698863,0.003059746,0.0077193593,0.0066794456,0.0001709858,0.0085592896,0.0169985891,0.0024597958,0.0004449631,0.0272977343,0.0048395983,0.0019598373,0.0013598871,0.006409468,0.0008929259,0.0015398722,0.0004369637,0.0030297485,0.0013598871,0.0028297651,0.0005209568,0.0085692887,0.0026897767,0.001999834,0.0004039665,0.0056295327,0.0080993278,0.0054195502,0.0043796365,0.0064894614,0.0072393991,0.008759273,0.0065094597,0.0110990788,0.0069794207,0.0065294581,0.004759605,0.010699112,0.0042696456,0.0073293917,0.0032597294,0.0054595469,0.012698946,0.002819766,0.0027597709,0.0188984314,0.0047896025,0.0031297402,0.0053095593,0.0044396315,0.0026497801,0.0021198241,0.0007879346,0.0025597875,0.0259978422,0.0018498465,0.016698614,0.0169985891,0.0202983152,0.0104991286,0.0142988132,0.0289975932,0.013698863,0.0152987302,0.0153987219,0.0328972695,0.0095192099,0.0097791883,0.0063094763,0.0098591817,0.0139988381,0.0135988713,0.0093092273,0.0383968131,0.045096257,0.0069294249,0.0053295576,0.0238980165,0.0259978422,0.007409385,0.0141988215,0.0564953109,0.0082993112,0.0058495145,0.0039696705,0.0193983899,0.0656945474,0.0086192846,0.0108990954,0.0638946967
"SBS12",0.004520592,0.001130148,0.0005400707,0.00122016,0.00542071,0.004280561,0.001170153,0.001100144,0.001980259,0.0004170546,0.0004470586,2.75036e-05,0.003480456,0.002880377,0.0005050662,0.002350308,0.00122016,0.0006420841,7.510984e-05,0.001440189,0.001340176,0.0008911167,0.0001730227,0.001560204,0.0005640739,0.0002890379,9.54125e-05,0.000504066,0.000969127,0.001550203,0.000214028,0.0030504,0.005510722,0.002120278,0.0001180155,0.002380312,0.006590863,0.0002540333,4.090536e-05,0.003380443,0.004480587,0.001820238,7.460977e-05,0.00267035,0.005520723,0.002640346,8.85116e-05,0.006120802,0.005170677,0.002710355,0.003120409,0.002820369,0.0005460715,0.005600734,0.001410185,0.001500197,0.0008261082,0.001810237,0.002510329,0.0009151199,0.003750491,0.006450845,0.002770363,0.005250688,0.07360964,0.04030528,0.07050924,0.06380836,0.04540595,0.04970651,0.0374049,0.04590601,0.07110932,0.03040398,0.04150544,0.04630607,0.08611128,0.04630607,0.04000524,0.05970782,0.002010263,0.000664087,0.0008081059,0.001280168,0.000893117,0.001140149,0.0005930777,0.0003440451,0.000412054,0.0002130279,0.000496065,0.0001650216,0.001630214,0.001130148,0.0008751146,0.00221029
"SBS13",0.00181992,0.0007209682,0.0002639884,0.0003479847,0.001399938,0.0009679574,4.329809e-06,2.219902e-16,0.0009489582,0.0004509801,0.0001639928,6.149729e-05,0.07899652,0.02939871,0.01209947,0.03549844,0.00386983,0.0009509581,0.0002639884,0.003999824,0.005609753,0.0006479715,0.0004879785,0.006399718,0.001499934,0.0004789789,0.0002409894,0.002699881,0.316986,0.0634972,0.01379939,0.3689837,0.007179684,2.219902e-16,0.0003029867,0.000317986,1.929915e-05,0.001349941,0.001989912,0.001449936,0.007179684,0.0009209594,0.0001779922,0.001269944,0.006929695,0.004479803,0.001189948,0.001419937,2.219902e-16,6.519713e-05,0.000589974,0.0006059733,0.0002089908,0.0003419849,0.00022599,0.000522977,6.699705e-06,0.0001299943,4.699793e-05,0.0003579842,0.000295987,0.0002319898,0.0001879917,6.199727e-05,0.001909916,0.0001419937,0.0004279812,0.0009589578,4.739791e-05,0.0001219946,2.219902e-16,0.0001119951,0.0002869874,0.000181992,0.0001949914,2.219902e-16,2.209903e-05,2.48989e-05,9.979561e-05,0.0005309766,6.13973e-05,2.219902e-16,8.249637e-05,0.0003199859,4.139818e-05,2.819876e-06,2.219902e-16,5.549756e-05,8.769614e-05,2.219902e-16,0.0004259812,2.889873e-06,0.0001839919,2.219902e-16,3.669838e-05,1.889917e-05
"SBS16",0.01599504,0.0028991,0.001019684,0.01059671,0.01039677,0.009027199,0.00173946,0.002489228,0.008607329,0.004248682,0.001359578,0.005798201,0.01079665,0.005868179,0.001489538,0.009247131,0.00173946,0.002009376,0.0008467373,0.01149643,0.003548899,0.004538592,0.001459547,0.009617016,0.001049674,0.003089041,8.127478e-05,0.003228998,0.002509221,0.005228378,0.0004388638,0.02849116,0.001759454,0.003728843,0.003268986,0.005998139,0.007167776,0.002839119,0.0006907856,0.01929401,0.006497984,0.005288359,0.001169637,0.006717915,0.006358027,0.003678858,0.003019063,0.02209314,0.02309283,0.007737599,0.008807267,0.01099659,0.003209004,0.005698232,0.00102968,0.006527974,0.0009397084,0.0006078114,0.005548278,0.0009657003,0.01229618,0.004668551,0.005178393,0.007157779,0.2419249,0.012896,0.06388018,0.1359578,0.01069668,0.003169017,0.009607019,0.01549519,0.002059361,0.001189631,0.004278672,0.002399256,0.01299597,0.003668862,0.007227757,0.008387397,0.01119653,0.004408632,0.004618567,0.007957531,0.003958772,0.001079665,0.002239305,0.002539212,0.0009017202,0.0009007205,0.0006747906,0.002389259,0.009776966,0.005508291,0.005238375,0.0157951
"SBS22",0.006012763,9.544387e-05,0.0007653518,0.001720791,0.001830841,0.004432037,0.0001360625,0.0001100506,0.002231025,0.001730795,0.0005152368,0.0005512534,0.0007843605,0.0017408,2.221021e-16,0.0003961821,0.001660763,0.0001950897,0.0002311062,6.202851e-05,0.001050483,0.000785361,0.0002391099,0.0003201471,0.001400644,0.0009304276,0.000211097,0.0004552092,0.003561637,0.001520699,0.0003811752,0.0003881784,0.001760809,0.0002201012,0.001360625,0.0006162832,0.001210556,0.003191467,0.0004261959,0.001600736,0.002381094,0.00187086,2.221021e-16,0.001760809,0.001590731,0.001320607,3.771733e-05,2.221021e-16,0.06392938,0.007013223,0.06062786,0.002511154,0.1280589,0.05512534,0.1680772,0.06032773,0.05372469,0.01020469,0.03751724,0.009324285,0.07183301,0.02361085,0.07323366,0.03011384,0.0250115,0.0008994134,0.007753564,0.0007553472,0.006743099,0.001340616,0.002030933,0.0005362465,0.0007213315,0.00124057,0.0005812672,0.0008343835,0.004632129,2.221021e-16,0.001220561,2.221021e-16,0.002331071,5.09234e-05,0.002951356,4.181922e-05,0.004912258,0.0008804046,0.008033692,0.001190547,0.001590731,0.0002361085,0.0004502069,1.960901e-05,0.005062327,0.0007523458,0.005572561,0.0005952736
"SBS88",1e-18,1e-18,1e-18,0.001731102,1e-18,1e-18,1e-18,1e-18,0.008655511,1e-18,0.000577034,0.003462204,1e-18,0.002308136,0.000577034,0.01038661,1e-18,0.004039238,1e-18,0.004039238,0.004616272,0.001154068,1e-18,0.00288517,1e-18,0.001731102,0.000577034,0.006924409,1e-18,1e-18,0.000577034,0.004039238,0.01038661,1e-18,0.01269475,1e-18,1e-18,1e-18,1e-18,0.004039238,0.000577034,1e-18,0.006347374,0.003462204,1e-18,1e-18,0.009232545,1e-18,0.04789383,0.0236584,0.000577034,0.04270052,1e-18,0.003462204,1e-18,1e-18,1e-18,0.005193306,0.00288517,0.01500289,0.02135026,1e-18,0.004039238,0.07443739,0.1113676,0.04558569,0.006347374,0.169648,1e-18,0.001731102,1e-18,1e-18,1e-18,0.003462204,0.000577034,0.01327178,0.004039238,0.002308136,1e-18,0.09636469,0.008078477,0.005193306,0.002308136,0.007501443,1e-18,0.002308136,0.002308136,1e-18,1e-18,0.001731102,0.00288517,0.01327178,0.0305828,0.02077323,1e-18,0.102135
"SBS92",0.01132934,0.00974473,0.00469657,0.00775798,0.01855035,0.01395552,0.00528203,0.0125431,0.00893931,0.00782492,0.00445574,0.00655609,0.01484858,0.01283178,0.00239317,0.01318626,0.00305586,0.00168986,0.0009073,0.00411591,0.00240959,0.00396222,0.00160101,0.005366,0.00234881,0.00216132,0.00089337,0.00152748,0.01945116,0.0040875,0.0002984,0.02298928,0.02376637,0.01409754,0.00978578,0.01645207,0.03660735,0.03476131,0.01082396,0.04532348,0.01282583,0.01351091,0.00593888,0.01684613,0.01710459,0.0173694,0.00359965,0.02458275,0.01007203,0.00358815,0.00701173,0.00918124,0.00704592,0.00393189,0.01024476,0.00644868,0.00562396,0.00192496,0.0059962,0.00411785,0.00817815,0.00284712,0.00675146,0.00604418,0.08918805,0.00463736,0.04011199,0.02956694,0.03076459,0.00401078,0.01412281,0.01367035,0.02920934,0.00268576,0.00925981,0.01267295,0.03453614,0.0043502,0.01293528,0.01428691,0.00206966,0.00035897,0.00123837,0.0035412,0.0009284,0.00041878,0.00209052,0.00054519,0.00055049,0.00029423,0.00154435,0.0001996,0.00220843,0.00030058,0.00174284,0.00179435
